young_modulus; poisson_ratio; length; width; f1; f2; f3; f4; displacement 
60000,0000;0,1000;9000,0000;1500,0000;5500000,0000;3000000,0000;5500000,0000;3000000,0000;58,0613
500000,0000;0,1000;9000,0000;1500,0000;5500000,0000;3000000,0000;5500000,0000;3000000,0000;6,9667
60000,0000;0,4500;9000,0000;1500,0000;5500000,0000;3000000,0000;5500000,0000;3000000,0000;53,9870
500000,0000;0,4500;9000,0000;1500,0000;5500000,0000;3000000,0000;5500000,0000;3000000,0000;6,4779
60000,0000;0,2750;8000,0000;1500,0000;5500000,0000;3000000,0000;5500000,0000;3000000,0000;40,5509
500000,0000;0,2750;8000,0000;1500,0000;5500000,0000;3000000,0000;5500000,0000;3000000,0000;4,8656
60000,0000;0,2750;10000,0000;1500,0000;5500000,0000;3000000,0000;5500000,0000;3000000,0000;78,3264
500000,0000;0,2750;10000,0000;1500,0000;5500000,0000;3000000,0000;5500000,0000;3000000,0000;9,3984
60000,0000;0,2750;9000,0000;1000,0000;5500000,0000;3000000,0000;5500000,0000;3000000,0000;283,6979
500000,0000;0,2750;9000,0000;1000,0000;5500000,0000;3000000,0000;5500000,0000;3000000,0000;34,0575
60000,0000;0,2750;9000,0000;2000,0000;5500000,0000;3000000,0000;5500000,0000;3000000,0000;18,6516
500000,0000;0,2750;9000,0000;2000,0000;5500000,0000;3000000,0000;5500000,0000;3000000,0000;2,2381
60000,0000;0,2750;9000,0000;1500,0000;1000000,0000;3000000,0000;5500000,0000;3000000,0000;22,5718
500000,0000;0,2750;9000,0000;1500,0000;1000000,0000;3000000,0000;5500000,0000;3000000,0000;2,7052
60000,0000;0,2750;9000,0000;1500,0000;10000000,0000;3000000,0000;5500000,0000;3000000,0000;99,1921
500000,0000;0,2750;9000,0000;1500,0000;10000000,0000;3000000,0000;5500000,0000;3000000,0000;11,9052
60000,0000;0,2750;9000,0000;1500,0000;5500000,0000;1000000,0000;5500000,0000;3000000,0000;53,5606
500000,0000;0,2750;9000,0000;1500,0000;5500000,0000;1000000,0000;5500000,0000;3000000,0000;6,4280
60000,0000;0,2750;9000,0000;1500,0000;5500000,0000;5000000,0000;5500000,0000;3000000,0000;66,5969
