young_modulus; poisson_ratio; length; width; f1; f2; f3; f4; displacement 
60000,0000;0,1000;8000,0000;1000,0000;1000000,0000;1000000,0000;1000000,0000;1000000,0000;49,0181
500000,0000;0,1000;8000,0000;1000,0000;1000000,0000;1000000,0000;1000000,0000;1000000,0000;5,8778
60000,0000;0,4500;8000,0000;1000,0000;1000000,0000;1000000,0000;1000000,0000;1000000,0000;44,6715
500000,0000;0,4500;8000,0000;1000,0000;1000000,0000;1000000,0000;1000000,0000;1000000,0000;5,3571
60000,0000;0,1000;10000,0000;1000,0000;1000000,0000;1000000,0000;1000000,0000;1000000,0000;95,1844
500000,0000;0,1000;10000,0000;1000,0000;1000000,0000;1000000,0000;1000000,0000;1000000,0000;11,4125
60000,0000;0,4500;10000,0000;1000,0000;1000000,0000;1000000,0000;1000000,0000;1000000,0000;87,0649
500000,0000;0,4500;10000,0000;1000,0000;1000000,0000;1000000,0000;1000000,0000;1000000,0000;10,4414
60000,0000;0,1000;8000,0000;2000,0000;1000000,0000;1000000,0000;1000000,0000;1000000,0000;3,2639
500000,0000;0,1000;8000,0000;2000,0000;1000000,0000;1000000,0000;1000000,0000;1000000,0000;0,3916
60000,0000;0,4500;8000,0000;2000,0000;1000000,0000;1000000,0000;1000000,0000;1000000,0000;3,0797
500000,0000;0,4500;8000,0000;2000,0000;1000000,0000;1000000,0000;1000000,0000;1000000,0000;0,3695
60000,0000;0,1000;10000,0000;2000,0000;1000000,0000;1000000,0000;1000000,0000;1000000,0000;6,1876
500000,0000;0,1000;10000,0000;2000,0000;1000000,0000;1000000,0000;1000000,0000;1000000,0000;0,7424
60000,0000;0,4500;10000,0000;2000,0000;1000000,0000;1000000,0000;1000000,0000;1000000,0000;5,8811
500000,0000;0,4500;10000,0000;2000,0000;1000000,0000;1000000,0000;1000000,0000;1000000,0000;0,7056
60000,0000;0,1000;8000,0000;1000,0000;10000000,0000;1000000,0000;1000000,0000;1000000,0000;346,1410
500000,0000;0,1000;8000,0000;1000,0000;10000000,0000;1000000,0000;1000000,0000;1000000,0000;41,6118
60000,0000;0,4500;8000,0000;1000,0000;10000000,0000;1000000,0000;1000000,0000;1000000,0000;315,5310
500000,0000;0,4500;8000,0000;1000,0000;10000000,0000;1000000,0000;1000000,0000;1000000,0000;37,9328
