young_modulus; poisson_ratio; length; width; f1; f2; f3; f4; displacement 
280000,0000;0,2750;9000,0000;1500,0000;5500000,0000;3000000,0000;5500000,0000;3000000,0000;12,2705
60000,0000;0,2750;9000,0000;1500,0000;5500000,0000;3000000,0000;5500000,0000;3000000,0000;57,2669
500000,0000;0,2750;9000,0000;1500,0000;5500000,0000;3000000,0000;5500000,0000;3000000,0000;6,8714
280000,0000;0,1000;9000,0000;1500,0000;5500000,0000;3000000,0000;5500000,0000;3000000,0000;12,4407
280000,0000;0,4500;9000,0000;1500,0000;5500000,0000;3000000,0000;5500000,0000;3000000,0000;11,5679
280000,0000;0,2750;8000,0000;1500,0000;5500000,0000;3000000,0000;5500000,0000;3000000,0000;8,6887
280000,0000;0,2750;10000,0000;1500,0000;5500000,0000;3000000,0000;5500000,0000;3000000,0000;16,7830
280000,0000;0,2750;9000,0000;1000,0000;5500000,0000;3000000,0000;5500000,0000;3000000,0000;60,8176
280000,0000;0,2750;9000,0000;2000,0000;5500000,0000;3000000,0000;5500000,0000;3000000,0000;3,9966
280000,0000;0,2750;9000,0000;1500,0000;1000000,0000;3000000,0000;5500000,0000;3000000,0000;4,8314
280000,0000;0,2750;9000,0000;1500,0000;10000000,0000;3000000,0000;5500000,0000;3000000,0000;21,2591
280000,0000;0,2750;9000,0000;1500,0000;5500000,0000;1000000,0000;5500000,0000;3000000,0000;11,4785
280000,0000;0,2750;9000,0000;1500,0000;5500000,0000;5000000,0000;5500000,0000;3000000,0000;14,2645
280000,0000;0,2750;9000,0000;1500,0000;5500000,0000;3000000,0000;1000000,0000;3000000,0000;13,8883
280000,0000;0,2750;9000,0000;1500,0000;5500000,0000;3000000,0000;10000000,0000;3000000,0000;11,5153
280000,0000;0,2750;9000,0000;1500,0000;5500000,0000;3000000,0000;5500000,0000;1000000,0000;11,7629
280000,0000;0,2750;9000,0000;1500,0000;5500000,0000;3000000,0000;5500000,0000;5000000,0000;12,9316
