Ym, Pr, L, W, F1, F2, F3, F4, Displacement
94395.4858293487,0.4087676369808402,8499.583680282592,1608.7273667749432,1029453.6040978053,2754024.0277530877,6663234.616121168,3989766.1721785413,8.080980547196237
84278.87830865616,0.23109129052233607,8788.41928932116,1175.2587420020413,5345039.4194010245,1678818.1331123093,6151882.530373353,4747893.06164832,93.17789106832156
149552.52974395122,0.43799028096110026,8189.447620176173,1794.2387779158153,4589577.197792582,3763271.802896679,9380382.48838225,1487584.4077927577,6.580764390388095
190093.26312056714,0.29579704555809394,8212.301834849808,1936.8071046081168,7972106.274591967,1071631.3027841274,7195338.542350881,4451673.081145598,6.948870273091138
104785.79118948348,0.15944563264434203,9576.520014094198,1241.4392737963017,2022163.8269611578,2954335.6603070684,1567812.4564079423,3178972.6944374517,58.67849180705738
268288.9877372335,0.19741128716493414,9250.735033453106,1726.8954743099557,5697303.123042757,4007804.1006104806,1371368.3690196467,3369427.527978938,10.202560724396596
349019.3220322263,0.24768748792447645,8466.87643358672,1711.5814580227334,8902311.078347273,1184737.9365735692,4317497.768345497,2261478.486378057,7.44879325677851
478439.31185466575,0.3120659837768396,9557.271040251471,1457.0030897277834,1373787.0248643495,2251425.8840230843,4623196.115071492,3940248.8781959736,3.985842193442309
287204.69079488586,0.19635617379862708,8693.117101193533,1615.0585884275206,8395541.393442847,1741303.8814281407,1088721.2202038663,4332029.376656868,12.412607431857339
178584.4993047107,0.37425735093784573,9485.611404682704,1976.1647581690047,7129715.518857259,3586618.7820757036,8025279.516203973,3672453.289065932,9.488757677235728
384460.20727182226,0.10350271697231922,8991.726841645475,1852.9491933059965,6255251.880622582,3330896.107332434,9791335.613881996,1224399.0932165964,4.182986164189769
390756.65062239935,0.36466178660342174,8393.291138141598,1616.2353061526778,9922509.510881668,4354529.235295265,6427896.460620176,3300777.7945971666,9.32075721768355
121190.7301799673,0.15233579420007837,8861.626175045481,1282.0764091016574,3354066.640379563,2417416.739868838,8443343.988021277,2504520.4194679298,29.129749451342697
220501.05007506002,0.2757656380425658,8147.7810899584,1653.3981404745891,8704466.81142426,4737266.342959046,5562209.476468281,4640068.74478887,13.240400578645648
464726.6375296571,0.11584258323725431,8497.104241065403,1707.8608190555547,9217875.236382278,3953527.1198197897,6157397.226514552,4794954.076434693,6.393459361926061
452769.46708253946,0.4350838030113753,8650.33003463316,1001.5134151921669,4128132.5615691883,2240212.398547494,7157586.333643145,4604351.313419186,23.18078466907667
175729.91236075293,0.4268552272253173,8834.209828197476,1841.4040974081527,9103655.538997076,2092148.458653495,9758541.522522664,3895570.580992446,12.369467325742042
487582.41659631237,0.35747725812389064,8887.402965300676,1912.4059082173485,5475503.271618329,2253598.4333042735,4554437.2023549555,3551281.2977518113,2.568390188775257
224515.31739714608,0.1304998873805263,9076.722626463608,1331.283365848126,5411284.639290178,4236020.838190775,7829689.588877876,1531828.41232569,24.741329032653038
447881.8834964725,0.21188782508629042,8810.306682697832,1906.1687284482964,8738702.660763849,4564551.855948543,5610588.051327594,1956509.1858486158,4.496729561592514
206852.72871223948,0.32577000833209213,8580.548310324426,1074.344834951196,2844575.8310574433,1553726.9938247958,3161931.6463414896,3312291.994420827,29.61463594725419
110183.55851922675,0.15010937479105557,8538.572020367716,1097.1556248912614,4768763.5657116845,1450579.1100363596,1607608.4972023545,1269516.3249437108,78.07302854032498
207621.64253339413,0.11921476969653026,8421.633193796806,1019.8688797440681,3516921.8193451306,1588915.4243429513,2712671.155584393,1478083.0294333566,39.75955278959888
434433.58994717,0.35959536333155984,9337.829302213398,1087.526992272084,4729784.0561824115,2402659.463455143,6097813.9988104105,1700992.8609914826,25.05159777360518
301042.85567391384,0.42118579492551544,9623.182202107902,1381.910934351281,6553231.580509665,1743414.4450796412,5170120.459581204,1355518.3522389794,20.86633217526504
113640.39777729855,0.23584938916918247,8082.6758009163,1802.4157592754927,2847826.3056791145,1588677.2462658787,9922088.060534148,2723420.471294781,5.7212182139580205
186053.88440461218,0.10263570373271837,9552.311013800654,1338.2189595726388,3862488.3820171924,1242543.3172936314,4506821.34148454,1007414.9166785665,22.937538467969684
323425.2130964874,0.3094745761254596,9343.627802888412,1944.2677190385161,7837243.941025489,1244507.369110296,1416758.863643564,1529620.2831295172,5.7647342481332124
98125.85724061195,0.249736363027599,8741.992977778058,1507.2013401452787,4503925.304806387,4928202.642270658,7118675.829525854,2351436.8594754767,29.716902310875202
303259.31281350355,0.2975642876628912,9712.447062375903,1836.0723865118403,4535602.406555647,4661564.523843477,9912659.463555323,2983127.0601466103,5.4508869964529625
250355.57106824164,0.29463434464776117,8531.316137021102,1153.9677902499577,7946794.543489311,2364070.042609765,8346701.507307677,1109588.7593221294,44.22134043244845
491146.7068703814,0.19320792591583458,9995.267665141622,1869.7908624055406,3236438.23077798,3672951.4161316096,6594964.534070644,3711088.305748338,2.861725517883195
232476.8656400391,0.14870289996690414,8287.715167217413,1654.1971437315688,7073492.767042603,2935471.361433435,4972642.53156986,4380791.464977326,10.363955243863224
325583.4498763224,0.2552048430682502,9765.668717945191,1373.2928246198317,2783202.3513943986,3295349.508365386,6037824.375046685,4674756.929809252,12.894539944652404
238464.62339341585,0.24869068123781338,9163.962644153238,1945.7683029107634,1328923.998593935,1277753.8898634748,9068675.64727341,3185649.197462417,1.6035576635110442
214975.69978250528,0.23665851818330874,9870.169441936127,1958.6216541887206,6107046.178031772,1791899.4315271608,3986317.5625134325,2270703.1796481945,7.836646900167188
97168.44825697487,0.23317878310547369,9870.986705646277,1072.4725152102624,8627202.515593214,3889803.9523451207,6308885.166914582,2592118.631400897,268.6246047334458
